WBS Number,Title,Start,End,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
1,Project,T+4d 10:00 AM,T+174d 8:30 AM,8mo 1w 4d 6h 30m 12s,6mo 3w 2d 5h 30m,0%,,,,,,,T+4d 10:00 AM,,,,,,
1.1,Project management (5% of Project Effort),T+4d 10:00 AM,T+104d 10:00 AM,5mo 1s,1w,0%,,Malcolm Knapp {5% of 50%},,,,,,,,,0,,
1.2,Product,T+4d 10:00 AM,T+134d 8:30 AM,6mo 1w 4d 6h 30m 12s,5mo 2w 2d 5h 30m,0%,,,,,,,,,,,,,
1.2.1,Market Research,T+4d 10:00 AM,T+12d 10:00 AM,1w 3d,4d,0%,,,,,,,,,,,,,
1.2.1.1,Baseline reaserch ,T+4d 10:00 AM,T+6d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.1.2,Vendor Contact,T+6d 10:00 AM,T+8d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.1.1,,0,,
1.2.1.3,Vendor Response,T+8d 10:00 AM,T+10d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.1.2,,0,,
1.2.1.4,Report Writing,T+10d 10:00 AM,T+12d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.1.3,,0,,
1.2.2,Product Definition,T+4d 10:00 AM,T+12d 10:00 AM,1w 3d,4d,0%,,,,,,,,,,,,,
1.2.2.1,Project Kick Off ,T+4d 10:00 AM,T+6d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.2.2,Flow Block diagram,T+6d 10:00 AM,T+8d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.2.1,,0,,
1.2.2.3,Feature List,T+8d 10:00 AM,T+10d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.2.2,,0,,
1.2.2.4,Behavior Definition,T+10d 10:00 AM,T+12d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.2.3,,0,,
1.2.3,Engineering Architecture,T+12d 10:00 AM,T+38d 10:00 AM,1mo 1w 1d,3w 1d,0%,,,,,,,,,1.2.2,,,,
1.2.3.1,Engineering Specification,T+12d 10:00 AM,T+16d 10:00 AM,4d,2d,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.3.2,System Logic and User Interface Definition,T+16d 10:00 AM,T+20d 10:00 AM,4d,2d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.3.1,,0,,
1.2.3.3,Date Stucture Definition,T+20d 10:00 AM,T+22d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.3.2,,0,,
1.2.3.4,Major Signal List,T+22d 10:00 AM,T+23d 10:00 AM,1d,4h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.3.3,,0,,
1.2.3.5,Major Components Selection,T+22d 10:00 AM,T+32d 10:00 AM,2w,1w 1d 4h,0%,,,,,,,,,1.2.3.3,,,,
1.2.3.5.1,Component 1,T+22d 10:00 AM,T+23d 10:00 AM,1d,4h,0%,,,,,,,,,,,,,
1.2.3.5.1.1,Component Research,T+22d 10:00 AM,T+22d 3:00 PM,4h,2h,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.3.5.1.2,Component Comparison,T+22d 3:00 PM,T+23d 10:00 AM,4h,2h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.3.5.1.1,,0,,
1.2.3.5.2,Major Component BOM,T+23d 10:00 AM,T+25d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.3.5.1,,0,,
1.2.3.5.3,Vendor Response,T+25d 10:00 AM,T+29d 10:00 AM,4d,2d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.3.5.2,,0,,
1.2.3.5.4,Major Component Shippment,T+29d 10:00 AM,T+32d 10:00 AM,3d,3d,0%,,Shipping,,,,,,,1.2.3.5.3,,0,,
1.2.3.6,Block Diagrams ,T+32d 10:00 AM,T+36d 10:00 AM,4d,2d,0%,,,,,,,,,1.2.3.5,,,,
1.2.3.6.1,Firmware,T+32d 10:00 AM,T+34d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.3.6.2,Hardware,T+34d 10:00 AM,T+36d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.3.6.1,,0,,
1.2.3.7,Proof of Concept Tests [4],T+36d 10:00 AM,T+37d 10:00 AM,1d,1d,0%,,,,,,,,,1.2.3.6,,0,,
1.2.3.8,Architecture Review ,T+36d 10:00 AM,T+38d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.3.6,,0,,
1.2.3.9,Architecture Release,T+38d 10:00 AM,T+38d 10:00 AM,,,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.3.8,,,,
1.2.4,Implementation,T+38d 10:00 AM,T+58d 8:30 AM,3w 4d 6h 30m 6s,2mo 1d 7h 30m,0%,,,,,,,,,1.2.3,,,,
1.2.4.1,HW ERD,T+38d 10:00 AM,T+40d 10:00 AM,2d,2d,0%,,,,,,,,,,,,,
1.2.4.1.1,Interface Definition,T+38d 10:00 AM,T+39d 10:00 AM,1d,4h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.3.9,,0,,
1.2.4.1.2,Power Transect SPICE,T+39d 10:00 AM,T+40d 10:00 AM,1d,4h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.1.1,,0,,
1.2.4.1.3,Current Budget,T+38d 10:00 AM,T+40d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.4.2,Design 2hr base,T+40d 10:00 AM,T+40d 3:00 PM,4h,2h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.1.2,,0,,
1.2.4.3,FW Implementation,T+38d 10:00 AM,T+53d 10:00 AM,3w,1w 2d 4h,0%,,,,,,,,,,,,,
1.2.4.3.1,FW ERD,T+38d 10:00 AM,T+42d 10:00 AM,4d,2d,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.4.3.2,Baseline existing FW,T+42d 10:00 AM,T+46d 10:00 AM,4d,2d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.3.1,,0,,
1.2.4.3.3,FW Block Diagram,T+46d 10:00 AM,T+48d 10:00 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.3.2,,0,,
1.2.4.3.4,Architecture Coding,T+48d 10:00 AM,T+52d 10:00 AM,4d,2d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.3.3,,0,,
1.2.4.3.5,Function Prototyping,T+52d 10:00 AM,T+53d 10:00 AM,1d,4h,0%,,,,,,,,,1.2.4.3.4,,,,
